指标,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年
每万人拥有卫生技术人员数(人),83,80,76,73,68,65,61,58,56,53,49,46,44,42,39,37,36,35,35,35
每万人拥有城市卫生技术人员数(人),102,99,115,111,109,109,104,102,97,92,85,79,76,72,67,64,61,58,50,49
每万人拥有农村卫生技术人员数(人),66,63,52,50,46,43,41,39,38,36,34,32,30,29,28,27,27,27,22,23
每万人拥有执业(助理)医师数(人),32,30,29,28,26,24,23,22,21,20,19,18,18,17,17,16,16,16,16,15
每万人拥有城市执业(助理)医师数(人),38,37,43,41,40,40,38,37,35,34,32,30,30,28,27,26,26,25,22,21
每万人拥有农村执业(助理)医师数(人),25,24,21,20,18,17,16,16,15,15,14,13,13,13,13,12,13,13,10,10
每万人拥有注册护士数(人),37,36,33,32,29,27,25,24,22,20,18,17,15,14,13,12,11,10,10,10
每万人拥有城市注册护士数(人),47,46,54,52,51,50,48,46,43,40,36,33,31,28,25,24,22,21,16,16
每万人拥有农村注册护士数(人),28,26,21,20,18,16,15,14,13,12,11,10,9,8,8,7,7,7,5,5
注：1.分母系常住人口数。,,,,,,,,,,,,,,,,,,,,
　　　2.城市包括直辖市区和地级市辖区。,,,,,,,,,,,,,,,,,,,,
　　　3.分母系推算户籍人口数。,,,,,,,,,,,,,,,,,,,,
　　　4.农村包括县及县级市。,,,,,,,,,,,,,,,,,,,,
　　　5.2002年以前，执业(助理)医师系医生，执业医师系医师。,,,,,,,,,,,,,,,,,,,,
　　　6.2002年以前，注册护士系护师(士)。,,,,,,,,,,,,,,,,,,,,
数据来源：国家统计局,,,,,,,,,,,,,,,,,,,,
