年份,新生儿死亡率(‰),城市新生儿死亡率(‰),农村新生儿死亡率(‰),婴儿死亡率(‰),城市婴儿死亡率(‰),农村婴儿死亡率(‰),5岁以下儿童死亡率(‰),城市5岁以下儿童死亡率(‰),农村5岁以下儿童死亡率(‰),孕产妇死亡率(1/10万),城市孕产妇死亡率(1/10万),农村孕产妇死亡率(1/10万)
2022,3.1,1.8,3.6,4.9,3.1,5.7,6.8,4.2,8,15.7,14.3,16.6
2021,3.1,1.9,3.6,5,3.2,5.8,7.1,4.1,8.5,16.1,15.4,16.5
2020,3.4,2.1,3.9,5.4,3.6,6.2,7.5,4.4,8.9,16.9,14.1,18.5
2019,3.5,2,4.1,5.6,3.4,6.6,7.8,4.1,9.4,17.8,16.5,18.6
2018,3.9,2.2,4.7,6.1,3.6,7.3,8.4,4.4,10.2,18.3,15.5,19.9
2017,4.48,2.65,5.3,6.77,4.15,7.94,9.05,4.84,10.94,19.6,16.6,21.1
2016,4.9,2.9,5.7,7.5,4.2,9,10.2,5.2,12.4,19.9,19.5,20
2015,5.4,3.3,6.4,8.1,4.7,9.6,10.7,5.8,12.9,20.1,19.8,20.2
2014,5.9,3.5,6.9,8.9,4.8,10.7,11.7,5.9,14.2,21.7,20.5,22.2
2013,6.3,3.7,7.3,9.5,5.2,11.3,12,6,14.5,23.2,22.4,23.6
2012,6.9,3.9,8.1,10.3,5.2,12.4,13.2,5.9,16.2,24.5,22.2,25.6
2011,7.8,4,9.4,12.1,5.8,14.7,15.6,7.1,19.1,26.1,25.2,26.5
2010,8.3,4.1,10,13.1,5.8,16.1,16.4,7.3,20.1,30,29.7,30.1
2009,9,4.5,10.8,13.8,6.2,17,17.2,7.6,21.1,31.9,26.6,34
2008,10.2,5,12.3,14.9,6.5,18.4,18.5,7.9,22.7,34.2,29.2,36.1
2007,10.7,5.5,12.8,15.3,7.7,18.6,18.1,9,21.8,36.6,25.2,41.3
2006,12,6.8,13.4,17.2,8,19.7,20.6,9.6,23.6,41.1,24.8,45.5
2005,13.2,7.5,14.7,19,9.1,21.6,22.5,10.7,25.7,47.7,25,53.8
2004,15.4,8.4,17.3,21.5,10.1,24.5,25,12,28.5,48.3,26.1,63
2003,18,8.9,20.1,25.5,11.3,28.7,29.9,14.8,33.4,51.3,27.6,65.4
